Index,length_sum,length_mean,travel_time,count,max
9770,26931.8129,508.1474133,60.97768959,52,0.419175634
9771,96007.11257,133.3432119,14.96944505,281,0.45586419
9772,52373.50848,145.0789709,15.35171176,279,0.455864113
9773,60031.61703,480.2529362,47.66293975,109,0.253047065
9774,22030.64276,440.6128553,52.87354263,48,0.371364496
9775,39673.91604,348.0168074,37.30283524,94,0.317656666
9776,11684.65379,467.3861518,56.08633821,25,0.422151577
9777,118451.1668,318.4171152,36.16721667,156,0.416935288
9778,37340.33672,321.8994545,34.03703125,56,0.473380503
9779,18670.16836,321.8994545,34.03703125,56,0.473380503
9780,275168.8938,212.6498407,24.61214445,552,0.31782302
9781,88710.84394,554.4427746,66.53313295,72,0.351572897
9782,50590.52095,451.7010799,48.40936073,50,0.424940159
9783,25295.26048,451.7010799,47.39247023,50,0.424940159
9784,124318.8132,337.822862,40.14798329,162,0.408320061
